squareMeters,numberOfRooms,hasYard,cityCode,numPrevOwners,made,isNewBuilt,price
182,8,1,75018,9,2006,1,"2 008 006,00 €"
286,10,0,75007,8,2020,0,"3 360 214,00 €"
114,7,0,75019,2,2007,0,"1 691 760,00 €"
40,1,0,75004,3,2014,1,"442 720,00 €"
172,4,0,75002,1,2003,0,"2 221 724,00 €"
164,4,0,75018,6,2019,0,"2 074 928,00 €"
223,4,0,75018,3,1991,0,"2 185 846,00 €"
57,4,0,75006,7,2006,0,"569 259,00 €"
272,4,1,75013,9,1995,1,"2 965 072,00 €"
300,9,0,75008,9,2018,1,"3 986 100,00 €"
347,5,1,75017,7,2019,1,"3 876 684,00 €"
234,5,1,75019,9,2013,0,"3 169 998,00 €"
323,4,0,75006,10,1995,1,"4 781 692,00 €"
84,3,0,75009,6,2003,1,"924 252,00 €"
340,6,1,75005,7,2010,1,"3 620 320,00 €"
275,7,0,75016,10,1991,1,"2 632 300,00 €"
160,8,1,75005,3,2002,1,"2 382 240,00 €"
243,7,1,75015,9,1991,0,"2 259 171,00 €"
40,1,1,75020,8,2013,1,"464 480,00 €"
85,3,1,75011,8,2002,0,"1 086 810,00 €"
143,10,0,75005,8,2021,1,"1 598 597,00 €"
113,4,0,75005,1,1997,1,"1 274 640,00 €"
276,7,0,75009,2,2020,0,"3 800 520,00 €"
38,1,1,75004,5,2004,0,"323 038,00 €"
24,1,0,75002,8,2001,1,"359 640,00 €"
109,9,0,75016,1,2011,1,"1 322 824,00 €"
28,1,1,75005,6,2011,0,"265 384,00 €"
339,10,1,75008,6,2018,1,"3 723 915,00 €"
142,6,1,75012,8,2002,0,"1 952 216,00 €"
153,5,0,75011,3,2010,1,"2 288 727,00 €"
71,4,0,75009,3,1993,1,"947 282,00 €"
58,3,1,75006,1,2000,1,"702 438,00 €"
22,2,1,75014,8,2001,0,"276 804,00 €"
319,5,0,75010,9,1993,0,"2 682 790,00 €"
139,9,1,75008,10,1992,1,"1 792 405,00 €"
61,4,1,75009,5,2012,0,"841 190,00 €"
193,10,1,75004,8,2016,0,"1 872 293,00 €"
205,6,0,75003,1,1998,0,"1 811 175,00 €"
31,2,1,75006,5,1991,0,"348 006,00 €"
252,8,0,75010,3,2019,0,"3 091 788,00 €"
158,8,0,75012,5,2000,0,"2 005 968,00 €"
264,9,0,75013,5,2008,0,"2 810 016,00 €"
102,6,1,75008,2,1992,0,"951 456,00 €"
315,9,0,75020,7,2004,0,"4 534 110,00 €"
231,10,1,75009,4,2009,1,"3 342 801,00 €"
111,8,0,75020,4,2007,1,"1 131 201,00 €"
109,9,1,75001,2,2003,0,"1 615 816,00 €"
162,9,1,75013,8,1991,1,"1 772 118,00 €"
52,4,1,75010,10,1994,0,"712 348,00 €"
38,2,1,75020,1,2014,1,"564 794,00 €"
290,7,1,75002,5,2000,1,"4 153 960,00 €"
24,1,0,75005,4,2020,0,"235 968,00 €"
97,6,0,75006,8,2009,0,"1 122 096,00 €"
278,10,1,75005,8,2006,0,"3 299 860,00 €"
193,9,1,75001,3,2007,0,"1 626 411,00 €"
234,9,0,75018,7,1992,1,"2 316 834,00 €"
273,4,0,75009,6,2013,1,"3 298 659,00 €"
326,8,0,75018,10,1999,1,"4 089 996,00 €"
320,6,0,75016,2,1999,0,"4 734 400,00 €"
57,4,0,75016,2,2005,0,"675 450,00 €"
213,5,1,75016,3,2017,1,"3 061 875,00 €"
73,4,0,75013,3,1990,0,"935 349,00 €"
350,7,0,75015,2,2012,1,"3 349 500,00 €"
154,8,0,75010,5,2013,0,"1 897 896,00 €"
315,8,1,75014,4,1995,0,"3 288 285,00 €"
153,7,0,75010,3,1999,1,"1 377 765,00 €"
229,8,1,75010,3,2007,0,"3 416 451,00 €"
192,10,1,75020,7,2000,1,"1 877 568,00 €"
207,6,0,75011,8,1993,0,"2 308 464,00 €"
258,9,0,75010,8,1991,1,"2 852 448,00 €"
160,9,1,75003,2,2007,0,"2 132 640,00 €"
135,7,0,75002,8,1994,1,"1 481 085,00 €"
320,9,0,75016,3,2014,1,"3 789 760,00 €"
229,4,0,75019,1,2013,0,"1 947 874,00 €"
88,3,0,75004,3,2005,0,"1 012 000,00 €"
171,5,0,75019,5,2013,0,"1 626 894,00 €"
319,9,1,75020,3,1999,1,"3 708 375,00 €"
341,10,0,75020,6,2020,0,"3 214 948,00 €"
328,4,0,75016,10,2016,0,"3 930 096,00 €"
196,7,0,75017,7,2015,1,"2 356 900,00 €"
157,7,0,75001,8,2016,1,"1 873 324,00 €"
163,5,1,75006,1,2015,1,"2 269 286,00 €"
286,7,1,75012,9,2017,0,"3 186 326,00 €"
291,5,1,75004,10,2019,0,"3 001 956,00 €"
217,4,0,75006,3,1999,0,"2 719 227,00 €"
28,1,1,75007,10,2008,0,"371 336,00 €"
238,4,0,75019,6,2015,0,"2 018 954,00 €"
182,5,1,75014,4,2003,0,"2 405 312,00 €"
141,8,1,75010,3,2018,1,"2 083 839,00 €"
97,4,1,75010,5,2013,0,"1 078 931,00 €"
179,7,1,75019,7,1994,1,"2 110 410,00 €"
319,9,0,75003,3,2018,0,"4 411 132,00 €"
224,9,1,75013,4,2007,0,"2 545 088,00 €"
129,10,0,75004,4,1993,1,"1 836 831,00 €"
107,10,1,75011,8,1995,1,"1 054 164,00 €"
30,2,0,75005,5,1999,0,"448 350,00 €"
146,9,1,75009,8,2003,1,"2 122 548,00 €"
159,10,1,75010,8,2003,0,"1 431 000,00 €"
136,9,0,75008,10,2021,1,"1 564 680,00 €"
266,7,0,75013,6,2009,0,"2 540 300,00 €"
92,6,0,75004,7,1991,1,"1 326 180,00 €"
348,5,1,75007,3,2020,1,"3 132 348,00 €"
247,6,1,75007,10,1994,1,"3 611 387,00 €"
226,9,1,75011,5,1997,0,"2 886 246,00 €"
227,10,0,75018,9,1990,0,"2 694 944,00 €"
182,8,1,75007,5,2001,1,"1 749 748,00 €"
216,10,0,75008,9,2020,0,"2 139 264,00 €"
20,1,0,75003,4,1995,0,"292 960,00 €"
130,6,0,75004,6,1999,0,"1 724 580,00 €"
66,3,0,75002,1,1992,0,"683 364,00 €"
288,6,0,75010,3,1998,1,"2 929 536,00 €"
123,7,0,75008,4,2009,0,"1 681 779,00 €"
21,2,1,75010,5,2000,0,"219 072,00 €"
208,4,1,75020,5,2012,1,"1 885 728,00 €"
348,10,1,75008,2,1993,1,"3 144 180,00 €"
201,5,1,75018,1,2019,1,"2 014 623,00 €"
20,1,1,75005,9,2017,0,"221 600,00 €"
40,2,0,75003,9,1995,0,"422 040,00 €"
314,5,1,75020,10,1997,0,"3 325 260,00 €"
203,6,0,75012,6,1993,1,"2 951 214,00 €"
199,7,1,75019,2,1991,1,"2 567 697,00 €"
71,4,0,75018,9,2001,1,"887 997,00 €"
31,1,0,75009,8,2018,1,"274 164,00 €"
62,5,0,75019,1,1992,1,"759 810,00 €"
281,10,1,75002,5,2010,1,"2 862 547,00 €"
52,4,0,75002,7,1997,0,"501 072,00 €"
309,10,1,75014,9,1999,1,"2 764 623,00 €"
156,6,1,75005,10,1997,1,"2 339 844,00 €"
81,5,1,75016,7,2001,0,"921 780,00 €"
88,3,0,75014,8,2015,1,"769 648,00 €"
291,10,1,75018,9,2017,1,"4 036 170,00 €"
293,8,0,75003,5,2010,0,"4 225 353,00 €"
207,5,0,75019,3,2010,0,"2 611 305,00 €"
180,7,1,75005,2,1993,1,"2 199 960,00 €"
33,2,1,75006,10,2000,0,"329 340,00 €"
342,9,0,75015,10,2018,0,"4 435 740,00 €"
170,5,0,75002,9,1999,0,"2 499 340,00 €"
313,8,0,75017,2,1994,1,"3 132 504,00 €"
111,8,1,75014,8,1998,1,"1 114 440,00 €"
73,4,1,75014,5,1991,1,"897 973,00 €"
88,5,1,75003,9,1990,1,"1 261 304,00 €"
235,6,1,75004,7,2003,0,"2 336 605,00 €"
177,10,1,75007,3,2017,0,"2 432 688,00 €"
337,8,0,75014,3,2021,1,"4 078 037,00 €"
228,8,1,75011,9,1996,0,"2 688 348,00 €"
209,8,1,75013,10,2001,1,"2 753 993,00 €"
165,4,0,75002,6,2021,1,"1 767 480,00 €"
36,2,1,75017,5,2003,0,"384 948,00 €"
21,1,1,75002,7,2010,0,"180 075,00 €"
246,9,0,75008,1,1993,1,"3 619 890,00 €"
154,5,1,75013,10,2006,1,"2 143 218,00 €"
305,6,1,75017,3,1996,1,"3 842 390,00 €"
163,9,1,75002,5,2017,0,"1 521 605,00 €"
20,1,1,75003,8,2000,0,"223 520,00 €"
291,6,0,75007,9,1992,1,"2 535 483,00 €"
349,6,1,75004,3,2017,0,"4 124 482,00 €"
318,4,0,75001,4,2012,0,"2 771 688,00 €"
319,8,1,75014,6,2019,1,"3 668 181,00 €"
154,4,0,75001,6,1990,1,"1 547 854,00 €"
60,4,1,75009,10,2009,0,"679 800,00 €"
142,9,1,75007,8,2019,0,"1 868 862,00 €"
228,10,1,75020,9,1990,0,"2 998 656,00 €"
40,2,1,75015,5,2001,1,"377 400,00 €"
87,5,0,75002,1,2001,0,"806 664,00 €"
292,8,1,75020,5,1998,1,"3 022 784,00 €"
294,8,0,75014,8,2002,0,"3 300 738,00 €"
322,5,0,75010,1,1997,0,"4 804 240,00 €"
62,5,1,75011,2,2020,0,"767 622,00 €"
84,5,0,75017,8,2006,0,"766 668,00 €"
196,9,1,75003,3,2012,0,"2 738 316,00 €"
176,8,0,75009,5,2014,1,"2 013 440,00 €"
178,8,1,75004,3,1997,0,"2 238 884,00 €"
249,5,0,75008,9,2002,0,"2 979 783,00 €"
334,9,0,75002,4,2018,1,"3 298 584,00 €"
239,4,1,75018,5,1995,0,"3 196 147,00 €"
46,1,1,75018,5,1990,0,"517 592,00 €"
82,5,0,75014,10,2017,1,"1 164 236,00 €"
184,6,1,75014,2,2009,1,"2 505 528,00 €"
51,3,1,75020,2,2003,0,"710 124,00 €"
57,4,1,75005,4,2019,1,"587 214,00 €"
332,6,1,75012,8,2019,0,"3 501 272,00 €"
42,1,0,75010,1,2013,1,"471 954,00 €"
328,5,1,75002,3,2004,1,"2 934 616,00 €"
23,1,0,75008,1,1994,0,"229 586,00 €"
77,5,1,75016,3,2019,1,"971 355,00 €"
51,3,1,75012,2,2013,1,"535 908,00 €"
143,8,0,75014,9,2013,0,"1 888 458,00 €"
79,5,1,75012,9,2006,0,"972 095,00 €"
218,10,1,75020,8,2020,1,"1 961 346,00 €"
70,4,0,75014,4,1991,1,"594 720,00 €"
251,4,1,75012,3,2015,0,"3 097 340,00 €"
179,4,0,75003,1,2004,1,"1 769 236,00 €"
176,6,1,75015,2,1996,0,"1 677 984,00 €"
316,8,1,75008,8,2005,0,"4 171 200,00 €"
248,5,0,75018,1,2020,1,"2 845 304,00 €"
294,7,1,75016,5,2010,1,"2 870 322,00 €"
92,5,1,75014,6,2016,1,"1 329 952,00 €"
339,10,1,75016,10,2015,1,"4 354 455,00 €"
67,5,0,75015,4,2019,1,"824 234,00 €"
265,10,0,75007,5,1991,1,"2 511 670,00 €"
104,8,1,75001,1,2011,0,"1 429 480,00 €"
48,1,1,75003,10,2004,0,"528 048,00 €"
84,3,1,75001,3,2013,0,"828 744,00 €"
212,5,1,75017,7,2017,1,"2 130 176,00 €"
122,7,0,75019,2,1990,1,"1 809 382,00 €"
310,5,0,75005,10,2015,0,"4 447 880,00 €"
33,2,0,75004,4,2014,1,"354 486,00 €"
156,8,0,75012,5,1992,0,"1 623 024,00 €"
335,4,1,75012,4,2001,0,"4 531 880,00 €"
85,5,1,75004,4,2004,1,"908 055,00 €"
276,6,0,75010,9,2004,0,"3 430 404,00 €"
252,4,1,75004,5,1995,1,"3 731 364,00 €"
346,5,1,75002,3,2016,0,"5 179 620,00 €"
235,10,0,75007,6,2021,1,"3 005 180,00 €"
26,1,0,75009,8,1993,0,"367 016,00 €"
331,4,1,75009,10,2006,0,"3 111 069,00 €"
245,8,0,75018,2,2002,1,"2 791 530,00 €"
246,10,0,75019,1,1998,0,"2 579 802,00 €"
55,3,0,75014,6,2005,1,"533 445,00 €"
61,3,0,75012,7,1995,1,"561 261,00 €"
336,8,1,75001,1,2007,0,"3 660 048,00 €"
67,3,0,75014,6,1996,0,"912 339,00 €"
263,6,0,75015,4,2010,1,"3 520 255,00 €"
146,5,1,75004,1,2003,0,"1 290 056,00 €"
311,10,0,75016,4,1991,0,"4 178 907,00 €"
194,8,0,75019,10,2007,0,"1 691 874,00 €"
37,1,1,75002,5,2010,1,"421 060,00 €"
200,4,1,75017,4,2019,0,"2 438 200,00 €"
75,4,0,75014,8,2003,0,"988 500,00 €"
61,3,1,75019,5,2007,0,"684 359,00 €"
147,9,1,75011,4,2014,0,"1 897 329,00 €"
117,10,0,75016,2,1993,1,"1 636 596,00 €"
216,10,0,75009,2,1996,1,"2 017 008,00 €"
78,4,0,75020,7,1995,0,"1 080 768,00 €"
333,5,1,75007,6,2003,0,"4 781 214,00 €"
227,10,0,75019,8,2002,1,"3 377 533,00 €"
234,10,0,75005,5,2013,0,"3 384 108,00 €"
265,8,1,75013,6,2021,1,"2 580 570,00 €"
76,3,1,75001,1,2000,1,"902 044,00 €"
279,9,1,75017,4,2010,1,"3 689 217,00 €"
48,1,1,75007,10,1996,1,"657 216,00 €"
162,7,1,75018,7,2000,1,"1 862 514,00 €"
173,10,1,75003,10,2009,1,"2 041 227,00 €"
167,9,1,75007,7,2010,1,"1 991 141,00 €"
150,6,0,75020,4,2016,0,"1 319 100,00 €"
113,6,1,75008,7,1994,1,"1 644 376,00 €"
216,7,0,75009,2,2013,1,"1 836 648,00 €"
337,10,0,75015,10,2017,0,"3 909 537,00 €"
268,6,1,75009,3,1991,1,"2 665 528,00 €"
54,4,0,75005,1,2005,1,"554 094,00 €"
59,4,1,75015,1,2001,1,"715 021,00 €"
220,6,0,75019,4,2020,0,"2 011 900,00 €"
126,5,1,75009,2,2002,1,"1 760 724,00 €"
110,4,1,75015,2,1992,1,"1 645 600,00 €"
259,8,1,75015,2,2015,1,"3 418 023,00 €"
147,10,0,75015,4,1999,1,"1 730 043,00 €"
174,4,0,75006,4,1997,1,"1 661 700,00 €"
219,4,1,75004,8,1993,1,"2 850 942,00 €"
231,9,1,75013,8,2021,1,"2 730 882,00 €"
250,9,1,75012,7,2015,0,"2 751 000,00 €"
241,9,1,75007,2,2021,0,"2 376 983,00 €"
55,5,0,75006,7,2019,1,"729 740,00 €"
281,8,0,75014,3,2003,0,"3 386 050,00 €"
101,5,1,75003,7,2011,0,"942 128,00 €"
318,4,1,75006,4,1998,1,"3 660 816,00 €"
253,9,0,75009,3,2018,1,"3 144 537,00 €"
252,10,1,75002,5,2002,0,"3 308 760,00 €"
338,9,0,75008,10,1998,1,"4 394 676,00 €"
134,5,1,75015,9,1992,0,"1 486 730,00 €"
233,7,0,75005,5,2001,0,"2 778 525,00 €"
271,6,0,75016,6,1994,1,"2 408 648,00 €"
125,7,1,75020,7,2001,0,"1 508 625,00 €"
146,8,0,75009,3,1993,0,"1 785 580,00 €"
87,3,1,75012,7,1997,0,"1 074 972,00 €"
288,5,0,75003,10,2009,0,"3 999 456,00 €"
143,10,1,75007,6,1992,1,"1 797 796,00 €"
44,1,0,75020,5,2000,0,"542 036,00 €"
213,8,1,75017,9,2017,0,"2 258 226,00 €"
272,10,1,75016,1,1990,1,"3 094 000,00 €"
28,2,0,75008,8,2002,0,"418 572,00 €"
130,10,1,75016,7,1994,1,"1 628 380,00 €"
86,4,1,75004,7,2007,1,"1 062 444,00 €"
117,5,1,75004,9,2007,0,"1 305 252,00 €"
197,8,0,75008,7,2018,0,"2 762 137,00 €"
160,10,0,75016,7,2007,1,"2 312 480,00 €"
182,7,1,75006,5,2016,0,"2 542 904,00 €"
180,7,1,75010,5,1999,0,"2 400 660,00 €"
39,2,0,75013,9,1997,1,"370 851,00 €"
168,9,1,75012,4,2003,1,"1 685 544,00 €"
90,5,1,75004,3,1992,0,"1 163 790,00 €"
253,7,0,75013,2,2009,0,"2 204 136,00 €"
23,2,0,75015,8,1992,0,"261 349,00 €"
345,5,0,75020,8,1996,0,"4 147 245,00 €"
276,7,1,75005,3,1995,1,"3 582 204,00 €"
325,4,1,75003,10,2012,0,"4 499 625,00 €"
161,8,1,75004,8,2007,1,"1 466 227,00 €"
35,2,1,75001,3,2016,1,"454 020,00 €"
144,5,0,75003,6,2015,1,"1 222 272,00 €"
47,2,1,75008,4,2015,1,"644 934,00 €"
41,2,0,75013,8,1995,1,"563 422,00 €"
117,10,0,75009,9,2011,1,"1 722 474,00 €"
35,2,0,75007,8,1990,0,"337 680,00 €"
65,4,1,75007,10,2020,1,"628 810,00 €"
323,8,1,75008,6,2019,0,"4 377 942,00 €"
109,6,1,75006,2,2021,0,"1 521 095,00 €"
146,4,1,75008,2,1999,0,"1 332 396,00 €"
318,8,1,75018,5,2004,0,"3 030 222,00 €"
328,10,0,75018,7,1991,1,"4 841 280,00 €"
135,5,0,75001,8,2018,1,"1 757 025,00 €"
219,8,1,75009,7,2002,1,"2 612 889,00 €"
300,9,1,75010,8,2007,1,"3 472 200,00 €"
105,9,0,75015,3,1991,1,"1 053 360,00 €"
62,3,0,75006,9,1991,1,"581 002,00 €"
347,6,0,75016,5,2016,0,"3 026 187,00 €"
225,9,1,75019,8,2006,1,"2 688 075,00 €"
22,2,0,75017,6,2004,0,"292 864,00 €"
250,8,1,75019,7,2013,1,"2 594 250,00 €"
342,8,0,75004,4,2010,1,"4 289 022,00 €"
33,1,0,75017,1,1993,0,"365 211,00 €"
201,8,1,75017,5,2006,0,"1 970 805,00 €"
196,9,1,75017,6,2002,1,"2 524 088,00 €"
89,3,1,75011,6,2006,0,"868 818,00 €"
76,5,1,75003,10,1999,0,"1 098 428,00 €"
251,6,0,75015,5,1993,0,"2 598 854,00 €"
187,6,0,75008,3,2013,0,"1 664 300,00 €"
292,4,1,75016,10,1998,1,"3 961 856,00 €"
331,5,1,75001,10,1990,1,"3 616 175,00 €"
251,7,0,75005,6,2002,0,"2 425 915,00 €"
271,7,0,75017,6,2021,0,"3 591 834,00 €"
183,6,0,75009,9,2015,0,"2 279 448,00 €"
295,9,1,75012,8,1996,1,"3 596 640,00 €"
263,4,1,75015,8,2006,1,"3 495 270,00 €"
62,4,0,75019,4,2013,1,"917 786,00 €"
216,4,1,75008,7,1994,0,"1 841 400,00 €"
347,10,0,75004,10,2008,1,"3 375 616,00 €"
333,8,0,75019,7,1994,1,"4 310 685,00 €"
42,2,1,75017,7,1996,0,"556 416,00 €"
199,7,0,75019,9,2017,0,"1 848 710,00 €"
111,6,0,75006,9,2001,0,"1 388 610,00 €"
86,5,0,75018,8,2018,0,"749 404,00 €"
349,6,1,75020,2,2004,0,"4 609 592,00 €"
246,5,0,75003,6,1991,0,"3 278 442,00 €"
249,8,0,75017,5,1998,0,"2 680 236,00 €"
261,7,1,75013,3,2013,1,"2 332 818,00 €"
148,4,1,75013,9,2008,1,"1 563 620,00 €"
209,4,1,75005,10,1990,1,"3 064 567,00 €"
271,4,1,75009,3,2002,1,"3 790 748,00 €"
226,9,1,75008,7,2016,0,"2 508 374,00 €"
315,7,1,75004,8,2013,1,"2 666 160,00 €"
52,4,1,75006,5,2019,0,"776 464,00 €"
182,5,0,75012,8,2012,1,"2 722 356,00 €"
165,7,0,75007,6,2013,0,"1 527 240,00 €"
110,6,1,75001,3,2006,0,"1 621 400,00 €"
76,5,0,75019,3,2021,1,"687 648,00 €"
271,4,0,75016,7,1996,0,"2 767 452,00 €"
298,4,0,75016,4,2014,1,"3 829 002,00 €"
335,4,1,75003,10,2008,1,"3 378 140,00 €"
279,8,0,75018,1,2001,0,"3 257 883,00 €"
25,1,0,75003,4,2021,0,"300 150,00 €"
298,9,1,75014,7,2013,0,"3 058 672,00 €"
208,4,0,75008,9,2005,1,"2 186 704,00 €"
20,1,1,75006,5,2007,1,"176 880,00 €"
186,10,0,75015,5,2000,1,"1 891 434,00 €"
187,5,1,75016,7,2017,0,"2 361 810,00 €"
326,10,0,75008,10,2007,0,"3 597 736,00 €"
79,4,0,75002,5,2002,0,"846 880,00 €"
136,10,0,75016,5,1990,1,"1 618 672,00 €"
91,7,1,75018,10,2004,0,"893 620,00 €"
178,7,0,75014,2,1998,1,"1 958 534,00 €"
42,2,0,75020,4,2010,1,"531 048,00 €"
83,5,0,75010,10,2015,0,"777 793,00 €"
153,5,1,75017,4,2021,1,"1 542 240,00 €"
191,8,0,75003,3,2008,0,"2 558 827,00 €"
222,10,1,75006,10,2002,0,"3 263 844,00 €"
89,5,0,75004,4,2018,0,"793 613,00 €"
176,7,0,75018,8,2012,0,"1 789 392,00 €"
340,7,0,75009,2,2011,0,"3 040 280,00 €"
120,6,1,75001,6,2019,0,"1 437 120,00 €"
318,8,1,75005,10,2002,1,"3 978 816,00 €"
27,1,0,75018,1,2001,1,"229 743,00 €"
323,5,1,75006,3,2017,0,"4 132 462,00 €"
223,7,1,75017,3,2021,0,"2 582 563,00 €"
58,4,1,75002,4,1995,1,"541 546,00 €"
291,9,0,75001,7,1991,1,"3 811 227,00 €"
254,9,0,75003,6,2002,1,"3 098 800,00 €"
227,6,0,75014,5,2003,1,"2 719 687,00 €"
151,5,1,75014,10,2012,1,"1 822 721,00 €"
348,5,1,75013,6,1992,1,"3 277 464,00 €"
272,9,1,75014,9,2021,1,"3 572 992,00 €"
115,7,0,75006,3,1993,1,"1 107 680,00 €"
20,1,1,75012,6,1995,0,"234 080,00 €"
257,4,0,75006,8,2021,0,"2 193 495,00 €"
20,1,1,75002,5,2008,1,"295 060,00 €"
272,10,1,75016,2,1996,0,"2 486 352,00 €"
161,4,0,75011,3,1990,0,"2 213 911,00 €"
129,5,1,75008,8,2016,1,"1 381 461,00 €"
83,4,1,75002,6,2019,0,"1 059 495,00 €"
111,6,0,75010,4,1996,0,"1 048 839,00 €"
297,9,0,75009,4,2012,1,"4 388 769,00 €"
81,3,0,75004,5,2010,1,"986 337,00 €"
135,6,0,75001,3,2011,1,"1 811 835,00 €"
188,9,1,75002,8,1999,0,"2 526 532,00 €"
70,3,0,75017,5,1996,0,"691 180,00 €"
233,7,0,75011,2,2007,1,"2 083 952,00 €"
249,8,0,75010,4,1998,0,"2 598 315,00 €"
347,10,0,75016,3,2014,0,"3 840 249,00 €"
79,3,0,75006,7,2006,1,"889 540,00 €"
274,8,1,75001,2,2000,0,"3 124 696,00 €"
239,9,1,75019,4,2003,1,"2 543 916,00 €"
86,5,0,75003,5,2016,1,"1 080 848,00 €"
