index,customerID,CustomerTitle,CustomerAge,Came_from_Paid_Acquisition?,# Months since first Purchase,InternetService,Has contacted CS,Has_MK_TV_Service?,PaymentMethod,LastPurchaseAmount,TotalPurchaseAmount,Churn
55,1658-BYGOY,Mrs,59,No,18.0,,No,Yes,Credit card,95.45,1752.55,Yes
56,8769-KKTPH,Mr,62,Yes,63.0,,No,Yes,Credit card,99.65,6311.2,No
57,5067-XJQFU,Mr,58,Yes,66.0,,Yes,Yes,Credit card,108.45,7076.35,No
58,3957-SQXML,Mr,55,Yes,34.0,,No,No,Credit card,24.95,894.3,No
59,5954-BDFSG,Mr,62,No,72.0,,Yes,Yes,Bank transfer (automatic),107.5,7853.7,No
60,0434-CSFON,Mr,49,Yes,47.0,,No,Yes,Credit card,100.5,4707.1,No
61,1215-FIGMP,Mrs,55,No,60.0,,No,Yes,Bank transfer (automatic),89.9,5450.7,No
62,0526-SXDJP,Mrs,71,Yes,72.0,,No,No,PayPal,42.1,2962,No
63,0557-ASKVU,Mrs,52,Yes,18.0,,Yes,No,Bank transfer (automatic),54.4,957.1,No
64,5698-BQJOH,Mr,45,No,9.0,Fiber optic,No,Yes,Credit card,94.4,857.25,Yes
65,5122-CYFXA,Mrs,46,No,3.0,,Yes,Yes,Credit card,75.3,244.1,No
66,8627-ZYGSZ,Mr,70,Yes,47.0,,No,No,Credit card,78.9,3650.35,No
67,3410-YOQBQ,Mr,56,No,31.0,,Yes,Yes,Credit card,79.2,2497.2,No
68,3170-NMYVV,Mr,59,Yes,50.0,,No,No,Bank transfer (automatic),20.15,930.9,No
69,7410-OIEDU,Mr,58,No,10.0,,No,No,Bank transfer (automatic),79.85,887.35,No
70,2273-QCKXA,Mr,69,No,1.0,,Yes,No,,49.05,49.05,No
71,0731-EBJQB,Mr,63,Yes,52.0,,No,No,Credit card,20.4,1090.65,No
72,1891-QRQSA,Ms,55,Yes,64.0,,Yes,Yes,Credit card,111.6,7099,No
73,8028-PNXHQ,Mr,65,Yes,62.0,,No,No,Credit card,24.25,1424.6,No
74,5630-AHZIL,Mr,50,No,3.0,,Yes,No,Credit card,64.5,177.4,No
75,2673-CXQEU,Mrs,66,No,56.0,,No,Yes,Bank transfer (automatic),110.5,6139.5,No
76,6416-JNVRK,Mr,68,No,46.0,,No,No,Bank transfer (automatic),55.65,2688.85,No
77,5590-ZSKRV,,50,Yes,8.0,,No,No,Credit card,54.65,482.25,No
78,0191-ZHSKZ,Mr,69,No,30.0,,No,Yes,Credit card,74.75,2111.3,No
79,3887-PBQAO,Mr,46,Yes,45.0,,No,No,Credit card,25.9,1216.6,No
80,5919-TMRGD,Mr,57,No,1.0,,No,Yes,Credit card,79.35,79.35,Yes
81,8108-UXRQN,Mrs,47,Yes,11.0,,No,Yes,Credit card,50.55,565.35,No
82,9191-MYQKX,Mrs,56,Yes,7.0,,No,No,Credit card,75.15,496.9,Yes
83,9919-YLNNG,Mr,69,No,42.0,,Yes,Yes,Credit card,103.8,4327.5,No
84,0318-ZOPWS,Mrs,49,Yes,49.0,,No,No,Credit card,20.15,973.35,No
85,4445-ZJNMU,Mrs,52,No,9.0,,No,Yes,Credit card,99.3,918.75,No
86,4808-YNLEU,Mr,67,Yes,35.0,,No,Yes,Credit card,62.15,2215.45,No
87,1862-QRWPE,Mrs,58,Yes,48.0,,No,No,Credit card,20.65,1057,No
88,2796-NNUFI,Mr,52,Yes,46.0,,No,No,Credit card,19.95,927.1,No
89,3016-KSVCP,Mr,0,Yes,29.0,,No,Yes,Credit card,33.75,1009.25,No
90,4767-HZZHQ,Mrs,70,Yes,30.0,,No,No,,82.05,2570.2,No
91,2424-WVHPL,Mr,67,No,1.0,,Yes,No,Credit card,74.7,74.7,No
92,7233-PAHHL,,66,Yes,66.0,,Yes,Yes,Credit card,84.0,5714.25,No
93,6067-NGCEU,Mr,51,No,65.0,,No,Yes,Credit card,111.05,7107,No
94,9848-JQJTX,Mr,44,No,72.0,,No,Yes,Credit card,100.9,7459.05,No
95,8637-XJIVR,Mrs,59,No,12.0,,No,No,Credit card,78.95,927.35,Yes
96,9803-FTJCG,Mrs,71,Yes,71.0,,Yes,No,PayPal,66.85,4748.7,No
97,0278-YXOOG,Mr,44,No,5.0,,No,No,Credit card,21.05,113.85,Yes
98,3212-KXOCR,Mr,65,No,52.0,,No,No,Credit card,21.0,1107.2,No
99,4598-XLKNJ,Mr,50,Yes,25.0,,No,Yes,PayPal,98.5,2514.5,Yes
100,6380-ARCEH,Mr,60,No,1.0,,No,No,Credit card,20.2,20.2,No
101,3679-XASPY,Mrs,68,Yes,1.0,,No,No,Bank transfer (automatic),19.45,19.45,No
102,7123-WQUHX,Mr,68,No,38.0,,Yes,Yes,Credit card,95.0,3605.6,No
103,5386-THSLQ,Mrs,47,Yes,66.0,,No,Yes,Credit card,45.55,3027.25,No
104,3192-NQECA,Ms,58,Yes,68.0,,Yes,Yes,Credit card,110.0,7611.85,Yes
105,6180-YBIQI,Mr,62,No,5.0,,No,No,Bank transfer (automatic),24.3,100.2,No
106,6728-DKUCO,Mr,43,Yes,72.0,,No,Yes,Credit card,104.15,7303.05,No
107,9750-BOOHV,Ms,46,No,32.0,,No,No,Credit card,30.15,927.65,No
108,8597-CWYHH,Mrs,51,No,43.0,,No,Yes,Credit card,94.35,3921.3,No
109,2848-YXSMW,Mr,52,Yes,72.0,,No,No,Credit card,19.4,1363.25,No
110,0486-HECZI,Mrs,70,Yes,55.0,,No,Yes,PayPal,96.75,5238.9,Yes
111,4549-ZDQYY,Mr,48,No,52.0,,Yes,No,Credit card,57.95,3042.25,No
112,5712-AHQNN,Mrs,56,No,43.0,,No,Yes,PayPal,91.65,3954.1,No
113,4846-WHAFZ,Mr,56,Yes,37.0,,No,No,Credit card,76.5,2868.15,Yes
114,5256-SKJGO,Mr,64,Yes,64.0,,Yes,Yes,Credit card,54.6,3423.5,No
115,3071-VBYPO,Mr,66,Yes,3.0,,No,Yes,Credit card,89.85,248.4,No
116,9560-BBZXK,Mr,64,No,36.0,,No,No,Credit card,31.05,1126.35,No
117,5299-RULOA,Mr,44,Yes,10.0,,No,Yes,Credit card,100.25,1064.65,Yes
118,8402-OOOHJ,Mr,43,No,41.0,,No,No,Credit card,20.65,835.15,No
119,9445-ZUEQE,Mr,53,Yes,27.0,,Yes,No,Credit card,85.2,2151.6,No
120,1091-SOZGA,Mr,44,Yes,56.0,,No,Yes,Credit card,99.8,5515.45,No
121,2928-HLDBA,Mrs,62,No,6.0,,No,No,Credit card,20.7,112.75,No
122,0404-SWRVG,Mr,53,No,3.0,DSL,No,No,Credit card,74.4,229.55,Yes
123,6497-TILVL,Ms,62,Yes,7.0,,No,No,Credit card,50.7,350.35,No
124,7219-TLZHO,Mrs,55,Yes,4.0,,No,No,Credit card,20.85,62.9,No
125,4622-YNKIJ,Mrs,67,No,33.0,,Yes,Yes,Credit card,88.95,3027.65,No
126,4412-YLTKF,Ms,45,No,27.0,,No,No,PayPal,78.05,2135.5,Yes
127,6734-PSBAW,Ms,48,Yes,72.0,,No,No,PayPal,23.55,1723.95,No
128,3930-ZGWVE,Mr,45,No,1.0,,No,No,Credit card,19.75,19.75,No
129,2639-UGMAZ,,59,No,71.0,,No,Yes,PayPal,56.45,3985.35,No
130,2876-GZYZC,Mr,56,No,13.0,,No,No,Credit card,85.95,1215.65,No
131,6207-WIOLX,Ms,44,Yes,25.0,,No,Yes,Credit card,58.6,1502.65,Yes
132,8587-XYZSF,Mr,0,No,67.0,,Yes,No,Credit card,50.55,3260.1,No
133,3091-FYHKI,Mr,50,No,1.0,,No,No,Credit card,35.45,35.45,Yes
134,2372-HWUHI,Mr,62,No,2.0,,No,No,Credit card,44.35,81.25,Yes
135,7799-LGRDP,Mrs,70,No,43.0,,No,No,PayPal,25.7,1188.2,No
136,7850-VWJUU,Mr,49,No,23.0,,No,No,Credit card,75.0,1778.5,No
137,3774-VBNXY,Mr,42,Yes,64.0,,No,No,PayPal,20.2,1277.75,No
138,6217-KDYWC,,70,No,57.0,,No,No,Credit card,19.6,1170.55,No
139,0390-DCFDQ,Mr,42,Yes,1.0,,No,No,Credit card,70.45,70.45,Yes
140,3146-MSEGF,Mr,63,Yes,72.0,,Yes,Yes,Credit card,88.05,6425.65,No
141,4080-OGPJL,Mr,53,No,8.0,,Yes,No,,71.15,563.65,Yes
142,1095-WGNGG,Mrs,71,Yes,61.0,,No,Yes,Credit card,101.05,5971.25,No
143,2636-SJDOU,Mr,51,No,64.0,,No,No,Credit card,84.3,5289.05,No
144,1131-QQZEB,Mr,71,Yes,71.0,,No,No,Credit card,23.95,1756.2,No
145,5716-EZXZN,Mr,64,Yes,65.0,,Yes,Yes,Bank transfer (automatic),99.05,6416.7,No
146,6837-BJYDQ,Mrs,71,No,3.0,,No,No,Credit card,19.6,61.35,No
147,2135-RXIHG,Mr,67,No,1.0,,No,No,PayPal,45.65,45.65,Yes
148,6440-DKQGE,Mr,48,No,30.0,,No,Yes,Credit card,64.5,1929.95,No
149,3466-BYAVD,Mr,57,Yes,15.0,,Yes,No,Credit card,69.5,1071.4,No
150,3780-YVMFA,Mrs,51,Yes,8.0,,Yes,Yes,Credit card,68.55,564.35,No
151,3874-EQOEP,Mr,53,No,7.0,DSL,No,Yes,Credit card,95.0,655.5,Yes
152,1679-JRFBR,Mrs,62,Yes,70.0,,No,Yes,Credit card,108.15,7930.55,No
153,9073-ZZIAY,Mr,46,Yes,62.0,,Yes,Yes,PayPal,86.1,5215.25,No
154,3077-RSNTJ,Mr,65,Yes,6.0,,No,No,Credit card,19.7,113.5,No
155,6551-GNYDG,Mr,67,Yes,14.0,,No,No,Credit card,80.9,1152.8,No
156,9167-APMXZ,Mr,70,No,22.0,,No,Yes,Credit card,84.15,1821.95,No
157,2749-CTKAJ,Mr,48,Yes,22.0,,No,No,Bank transfer (automatic),20.15,419.9,No
158,6371-NZYEG,Mr,70,Yes,16.0,,No,Yes,Credit card,64.25,1024,No
159,7554-NEWDD,Mrs,66,No,10.0,,No,No,Credit card,25.7,251.6,No
160,8992-VONJD,Mrs,70,No,13.0,,No,No,Credit card,56.0,764.55,No
161,0867-MKZVY,Mr,64,Yes,20.0,,No,No,Credit card,82.4,1592.35,Yes
162,4482-EWFMI,Mr,42,No,2.0,,No,No,Credit card,69.7,135.2,No
163,4648-YPBTM,Mrs,42,No,53.0,,Yes,No,Credit card,73.9,3958.25,No
164,2907-ILJBN,Mr,55,Yes,11.0,,No,No,Bank transfer (automatic),20.6,233.9,No
165,6345-FZOQH,Mrs,51,Yes,69.0,,No,No,Bank transfer (automatic),19.9,1363.45,No
166,3376-BMGFE,,42,No,4.0,,No,No,Credit card,70.9,273,Yes
167,5997-OPVFA,Mr,66,Yes,72.0,,Yes,Yes,Credit card,89.05,6254.45,No
168,3445-HXXGF,Mrs,70,Yes,58.0,,No,No,,45.3,2651.2,Yes
169,1159-WFSGR,Mrs,62,Yes,16.0,,No,No,PayPal,20.4,321.4,No
170,7654-YWJUF,Ms,45,Yes,43.0,,Yes,No,Credit card,84.25,3539.25,No
171,1875-QIVME,Mrs,51,Yes,2.0,,Yes,Yes,Credit card,104.4,242.8,Yes
172,6727-IOTLZ,Mr,57,Yes,14.0,,Yes,Yes,Credit card,81.95,1181.75,No
173,0691-JVSYA,Ms,52,Yes,53.0,,No,Yes,PayPal,94.85,5000.2,Yes
174,5918-VUKWP,Mr,44,No,32.0,,No,No,Credit card,20.55,654.55,No
175,1744-JHKYS,Mr,46,Yes,34.0,,No,No,,24.7,780.2,No
176,2656-FMOKZ,Mr,56,No,15.0,DSL,No,No,Credit card,74.45,1145.7,Yes
177,2070-FNEXE,Mrs,58,No,7.0,,No,No,Credit card,76.45,503.6,Yes
178,5947-SGKCL,,47,Yes,15.0,,No,Yes,Credit card,105.35,1559.25,No
179,3712-PKXZA,Mr,51,Yes,61.0,,No,No,Credit card,20.55,1252,No
180,6317-YPKDH,Mr,71,No,1.0,,No,No,Bank transfer (automatic),29.95,29.95,Yes
181,6582-OIVSP,Mrs,54,No,1.0,,No,No,Credit card,45.3,45.3,No
182,9367-WXLCH,Mr,62,No,8.0,,No,No,Credit card,84.5,662.65,Yes
183,5524-KHNJP,Ms,51,Yes,33.0,,No,Yes,PayPal,74.75,2453.3,No
184,1918-ZBFQJ,Mr,69,No,13.0,,No,No,Credit card,79.25,1111.65,Yes
185,1024-GUALD,Mr,58,Yes,1.0,,No,No,Credit card,24.8,24.8,Yes
186,4827-USJHP,Mrs,71,No,20.0,,No,No,Credit card,51.8,1023.85,No
187,8167-GJLRN,Mrs,54,No,3.0,,Yes,No,PayPal,30.4,82.15,No
188,0956-SYCWG,Mrs,48,No,13.0,,No,No,Credit card,19.65,244.8,No
189,8017-UVSZU,Mrs,60,Yes,40.0,,No,No,Credit card,56.6,2379.1,No
190,7100-FQPRV,Mrs,68,Yes,43.0,,Yes,No,Credit card,71.9,3173.35,No
191,2472-OVKUP,Mr,47,Yes,6.0,,No,No,Credit card,91.0,531,Yes
192,2984-RGEYA,Mr,63,Yes,69.0,,No,No,Credit card,19.75,1375.4,No
193,9680-NIAUV,Mrs,45,Yes,72.0,,No,Yes,Credit card,109.7,8129.3,No
194,2146-EGVDT,,47,Yes,59.0,,No,No,Credit card,19.3,1192.7,No
195,2604-IJPDU,Ms,56,Yes,20.0,,Yes,Yes,Credit card,96.55,1901.65,No
196,9178-JHUVJ,Mr,0,Yes,24.0,,No,No,,24.1,587.4,No
197,6168-YBYNP,,48,No,59.0,,Yes,Yes,Credit card,111.35,6519.75,No
198,7255-SSFBC,Mr,45,Yes,72.0,,Yes,Yes,Credit card,112.25,8041.65,No
199,3645-DEYGF,Ms,45,No,1.0,,No,No,PayPal,20.75,20.75,No
200,9323-HGFWY,Mr,53,Yes,27.0,,Yes,Yes,,101.9,2681.15,No
201,8544-GOQSH,Mr,67,No,14.0,,Yes,No,Credit card,80.05,1112.3,No
202,3363-DTIVD,Mrs,48,Yes,71.0,,No,Yes,Credit card,105.55,7405.5,No
203,7018-WBJNK,Mrs,70,No,13.0,,No,Yes,Credit card,78.3,1033.95,No
204,9142-KZXOP,Mr,57,No,44.0,,No,No,Credit card,68.85,2958.95,No
205,7674-YTAFD,Mrs,64,No,33.0,,Yes,No,Credit card,79.95,2684.85,No
206,6348-SNFUS,Mr,63,Yes,72.0,,Yes,No,Credit card,55.45,4179.2,No
207,1285-OKIPP,Mr,43,No,1.0,,No,No,Credit card,79.9,79.9,Yes
208,7825-ECJRF,Mr,56,No,19.0,,Yes,Yes,Credit card,106.6,1934.45,Yes
209,1347-KTTTA,Mr,53,Yes,64.0,,Yes,Yes,Bank transfer (automatic),102.45,6654.1,No
210,7841-TZDMQ,Mr,66,No,2.0,,No,No,Credit card,46.0,84.5,Yes
211,4195-NZGTA,Mr,48,No,1.0,,No,No,Credit card,25.25,25.25,No
212,7157-SMCFK,Mrs,69,No,61.0,,No,No,Credit card,19.75,1124.2,No
213,4709-LKHYG,Mrs,60,Yes,29.0,,No,No,,20.0,540.05,No
214,2504-DSHIH,Mr,69,Yes,23.0,,No,No,Bank transfer (automatic),86.8,1975.85,No
215,0699-NDKJM,Mr,59,Yes,57.0,,No,Yes,Credit card,58.75,3437.45,No
216,9286-BHDQG,Ms,64,Yes,72.0,,Yes,No,Credit card,45.25,3139.8,No
217,0230-WEQUW,Ms,48,Yes,66.0,,Yes,Yes,PayPal,56.6,3789.2,No
218,2040-LDIWQ,Mrs,44,Yes,65.0,,Yes,Yes,PayPal,84.2,5324.5,No
219,6496-JDSSB,Mr,70,No,8.0,,No,Yes,Credit card,80.0,624.6,No
220,9408-SSNVZ,Mr,49,No,4.0,,No,No,Credit card,70.15,268.35,Yes
221,4443-EMBNA,Mr,57,Yes,71.0,,No,No,Credit card,24.75,1836.9,No
222,6469-MRVET,Mrs,58,Yes,1.0,,No,No,Credit card,20.2,20.2,No
223,0742-MOABM,Mrs,54,Yes,4.0,,Yes,No,Bank transfer (automatic),50.05,179.35,Yes
224,5961-VUSRV,Mr,60,No,12.0,,No,No,Credit card,19.35,219.35,No
225,6778-JFCMK,Mr,65,No,24.0,,No,Yes,Credit card,50.6,1288.75,No
226,6341-JVQGF,Ms,69,Yes,31.0,,Yes,Yes,Bank transfer (automatic),81.15,2545.75,No
227,2232-DMLXU,Mrs,43,Yes,1.0,,No,Yes,Credit card,55.2,55.2,Yes
228,4811-JBUVU,Mr,67,No,30.0,,Yes,No,PayPal,89.9,2723.15,No
229,0945-TSONX,Mrs,57,Yes,47.0,,Yes,Yes,Credit card,85.3,4107.25,No
230,2651-ZCBXV,Mr,59,No,54.0,,Yes,Yes,Credit card,108.0,5760.65,No
231,3316-UWXUY,Mrs,43,No,50.0,,Yes,No,Credit card,93.5,4747.5,No
232,8937-RDTHP,Mrs,50,No,1.0,,No,No,Credit card,84.6,84.6,Yes
233,7083-MIOPC,Mrs,42,No,72.0,,No,No,Bank transfer (automatic),20.25,1566.9,No
234,1984-GPTEH,Mrs,62,No,29.0,,No,No,Credit card,25.15,702,No
235,1251-KRREG,Mr,57,No,2.0,,No,No,Credit card,54.4,114.1,Yes
236,0621-JFHOL,Mrs,42,No,10.0,,Yes,No,Credit card,29.6,299.05,No
237,9903-LYSAB,Mrs,69,Yes,18.0,,No,No,Bank transfer (automatic),73.15,1305.95,No
238,0094-OIFMO,Mr,66,No,11.0,,No,Yes,Credit card,95.0,1120.3,Yes
239,9227-UAQFT,Mr,61,No,16.0,,No,No,Credit card,19.75,284.35,No
240,7301-ABVAD,Mr,66,No,72.0,,Yes,Yes,Credit card,86.6,6350.5,No
241,6614-FHDBO,Mr,64,No,72.0,,Yes,Yes,Credit card,109.2,7878.3,No
242,7576-ASEJU,Ms,62,Yes,41.0,,Yes,Yes,Credit card,74.7,3187.65,No
243,9058-HRZSV,Mrs,64,Yes,65.0,,No,No,Credit card,94.4,6126.15,No
244,4522-AKYLR,Mrs,56,No,13.0,,No,No,Credit card,54.8,731.3,No
245,0221-WMXNQ,Ms,58,No,4.0,,No,No,,75.35,273.4,No
246,0303-UNCIP,Mr,0,No,41.0,,No,No,Credit card,65.0,2531.8,No
247,9947-OTFQU,Mr,46,No,15.0,,No,No,Bank transfer (automatic),74.4,1074.3,Yes
248,0322-YINQP,Mrs,48,No,1.0,DSL,No,No,Credit card,48.55,48.55,Yes
249,0959-WHOKV,Ms,51,No,42.0,,No,No,Credit card,99.0,4298.45,No
250,4075-JFPGR,Mrs,64,Yes,51.0,,No,Yes,Credit card,93.5,4619.55,No
251,4629-NRXKX,Mrs,47,Yes,2.0,,No,No,PayPal,70.4,147.15,Yes
252,9514-JDSKI,Mr,55,Yes,1.0,,No,Yes,,40.2,40.2,Yes
253,3282-ZISZV,Mr,0,No,32.0,Fiber optic,Yes,Yes,Bank transfer (automatic),83.7,2633.3,No
254,3675-YDUPJ,Mr,51,No,10.0,,No,No,Credit card,19.85,193.05,No
255,4111-BNXIF,Mr,0,Yes,67.0,,Yes,Yes,Bank transfer (automatic),59.55,4103.9,No
256,7017-VFHAY,Mrs,59,Yes,61.0,,Yes,Yes,Credit card,115.1,7008.15,No
257,6655-LHBYW,Mrs,59,No,50.0,,Yes,Yes,PayPal,114.35,5791.1,No
258,4959-JOSRX,Mr,45,Yes,2.0,,No,No,Credit card,44.6,80.55,Yes
259,5046-NUHWD,Mrs,65,Yes,29.0,,No,No,Credit card,45.0,1228.65,No
260,7273-TEFQD,Ms,70,No,3.0,,No,No,Credit card,41.15,132.2,Yes
261,3606-TWKGI,Ms,42,No,13.0,,No,Yes,Credit card,106.9,1364.3,Yes
262,7529-ZDFXI,Mr,46,Yes,57.0,,No,No,Credit card,89.85,4925.35,No
263,7605-BDWDC,Mr,60,No,31.0,,Yes,No,Credit card,49.85,1520.1,No
264,1950-KSVVJ,Mr,56,Yes,45.0,,Yes,Yes,Credit card,113.3,5032.25,No
265,0123-CRBRT,Mrs,61,Yes,61.0,,Yes,Yes,Credit card,88.1,5526.75,No
266,6292-TOSSS,Mr,48,No,50.0,DSL,No,No,Credit card,24.9,1195.25,No
267,3197-ARFOY,Mr,63,No,19.0,,Yes,Yes,Credit card,105.0,2007.25,No
268,6323-AYBRX,Mr,63,No,59.0,DSL,No,No,Credit card,19.35,1099.6,Yes
269,7014-ZZXAW,Mr,46,Yes,71.0,,No,No,Credit card,24.25,1732.95,No
270,4385-GZQXV,Mrs,63,No,16.0,,Yes,Yes,Credit card,94.45,1511.2,Yes
271,7633-MVPUY,Mr,65,Yes,57.0,,Yes,No,PayPal,59.75,3450.15,No
272,6366-ZGQGL,Mrs,61,No,1.0,,No,No,Credit card,24.8,24.8,Yes
273,4716-HHKQH,Mr,53,Yes,20.0,,Yes,Yes,Credit card,107.05,2172.05,No
274,5940-AHUHD,Ms,47,No,1.0,,No,No,Bank transfer (automatic),70.6,70.6,Yes
275,6432-TWQLB,Mr,61,Yes,5.0,,Yes,No,Credit card,85.4,401.1,Yes
276,4484-GLZOU,Mrs,46,Yes,52.0,,No,Yes,Credit card,105.05,5624.85,Yes
277,3179-GBRWV,Mr,51,Yes,21.0,,No,No,,64.95,1339.8,No
278,8645-KWHJO,Mrs,60,No,14.0,,Yes,Yes,Bank transfer (automatic),55.0,771.95,No
279,4130-MZLCC,Mrs,43,No,5.0,,No,No,Bank transfer (automatic),50.55,244.75,No
280,0314-TKOSI,Mr,54,No,6.0,,No,No,Credit card,55.15,322.9,No
281,8229-MYEJZ,Mrs,58,No,10.0,,No,No,Credit card,51.2,498.25,No
282,2080-SRCDE,Mrs,52,No,1.0,,No,No,Credit card,25.4,25.4,No
283,9577-WJVCQ,Mr,68,No,68.0,,No,No,Credit card,54.45,3687.75,No
284,9512-UIBFX,Mr,65,Yes,18.0,,No,Yes,Credit card,95.15,1779.95,Yes
285,6202-DYYFX,Mrs,51,No,22.0,,No,No,Credit card,76.0,1783.6,No
286,3808-HFKDE,Ms,70,No,20.0,,No,No,Bank transfer (automatic),44.35,927.15,No
287,5583-SXDAG,Mrs,65,Yes,1.0,,No,No,Credit card,70.0,70,Yes
288,3488-PGMQJ,Mr,49,No,8.0,,No,No,Credit card,74.5,606.55,Yes
289,3580-REOAC,Mrs,62,No,10.0,,No,No,Credit card,44.85,435.4,Yes
290,7534-BFESC,Mr,59,No,24.0,,No,No,Credit card,76.1,1712.7,Yes
